participant,trial,accuracy,rt
56,11,0,1067
56,12,0,1282
56,13,0,2982
56,14,0,1048
56,15,1,1498
57,0,1,2880
57,1,0,2384
57,2,1,5063
57,3,1,1719
57,4,0,2110
57,5,1,2416
57,6,1,4957
57,7,1,1616
57,8,1,2759
57,9,1,1209
57,10,1,1003
57,11,1,1221
57,12,1,2148
57,13,1,1155
57,14,1,1081
57,15,0,2456
58,0,1,6135
58,1,0,3943
58,2,1,2903
58,3,0,4551
58,4,1,2159
58,5,1,1609
58,6,1,1199
58,7,1,1439
58,8,1,3984
58,9,1,1072
58,10,1,1071
58,11,1,1232
58,12,1,2455
58,13,1,1231
58,14,1,1063
58,15,1,4000
59,0,0,3105
59,1,0,3074
59,2,1,2270
59,3,1,1710
59,4,0,1715
59,5,0,1865
59,6,1,2219
59,7,1,1355
59,8,1,1230
59,9,0,2549
59,10,1,1454
59,11,0,1655
59,12,1,1694
59,13,1,1490
59,14,1,1664
59,15,0,3330
60,0,0,2569
60,1,1,1959
60,2,1,1556
60,3,1,1184
60,4,1,1811
60,5,1,1507
60,6,1,990
60,7,0,2400
60,8,0,866
60,9,1,914
60,10,1,2708
60,11,1,1850
60,12,1,1479
60,13,0,1456
60,14,1,1052
60,15,1,1083
61,0,0,5079
61,1,1,1719
61,2,1,1271
61,3,1,3839
61,4,1,1383
61,5,1,2183
61,6,1,943
61,7,1,1231
61,8,1,1263
61,9,1,871
61,10,1,1207
61,11,1,911
61,12,1,2095
61,13,1,2199
61,14,1,1263
61,15,1,1295
62,0,0,10443
62,1,1,3411
62,2,0,7551
62,3,1,2735
62,4,1,2174
62,5,1,4189
62,6,1,2353
62,7,1,1940
62,8,1,4045
62,9,1,2860
62,10,1,3373
62,11,1,3880
62,12,1,1833
62,13,1,4420
62,14,1,7423
62,15,1,2969
63,0,0,6093
63,1,0,2822
63,2,0,3166
63,3,0,3051
63,4,0,4185
63,5,1,1798
63,6,1,3773
63,7,1,3164
63,8,0,3938
63,9,0,1708
63,10,0,3986
63,11,0,2583
63,12,1,1266
63,13,0,2634
63,14,0,5069
63,15,0,1800
64,0,1,2568
64,1,0,1319
64,2,1,897
64,3,0,1209
64,4,0,684
64,5,0,402
64,6,0,604
64,7,0,539
64,8,1,448
64,9,0,1056
64,10,0,580
64,11,0,718
64,12,0,502
64,13,1,581
64,14,0,760
64,15,0,1031
65,0,0,2865
65,1,1,2955
65,2,1,1587
65,3,1,1039
65,4,1,1371
65,5,1,2047
65,6,1,955
65,7,1,1014
65,8,1,1255
65,9,1,1149
65,10,1,1983
65,11,1,895
65,12,1,1403
65,13,1,959
65,14,1,1243
65,15,1,845
66,0,0,4900
66,1,0,2396
66,2,1,2387
66,3,0,2262
66,4,1,3060
66,5,1,2069
66,6,1,1094
66,7,1,1146
66,8,1,1127
66,9,1,1058
66,10,1,964
66,11,1,863
66,12,1,919
66,13,1,912
66,14,1,841
66,15,1,963
67,0,1,4324
67,1,1,4606
67,2,0,4231
67,3,0,3056
67,4,0,4481
67,5,0,3217
67,6,1,2923
67,7,1,1953
67,8,1,1327
67,9,1,1335
67,10,1,1295
67,11,1,1178
67,12,1,1715
67,13,1,1528
67,14,1,1668
67,15,1,1317
68,0,0,3543
68,1,0,2407
68,2,1,1934
68,3,1,1597
68,4,1,1968
68,5,1,1214
68,6,1,1417
68,7,1,1248
68,8,1,1305
68,9,1,1451
68,10,1,1496
68,11,1,1057
68,12,1,989
68,13,1,1203
68,14,1,1349
68,15,1,1046
69,0,1,3237
69,1,0,1222
69,2,1,1847
69,3,1,967
69,4,1,1087
69,5,1,1055
69,6,1,895
69,7,1,1183
69,8,1,1742
69,9,1,775
69,10,1,1102
69,11,1,1502
69,12,1,1134
69,13,1,2262
69,14,1,1207
69,15,1,1559
70,0,0,6986
70,1,1,1639
70,2,0,1583
70,3,1,2251
70,4,1,1504
70,5,1,1973
70,6,0,1176
70,7,1,1947
70,8,1,1117
70,9,0,1658
70,10,1,1345
70,11,1,1409
70,12,1,1089
70,13,1,1282
70,14,1,1592
70,15,1,1050
71,0,0,6860
71,1,0,5736
71,2,0,3397
71,3,0,4602
71,4,0,2827
71,5,0,1727
71,6,1,1439
71,7,1,2659
71,8,0,1747
71,9,0,3020
71,10,1,1766
71,11,0,1231
71,12,0,2408
71,13,1,1163
71,14,1,1164
71,15,0,769
72,0,0,4833
72,1,1,1240
72,2,0,2963
72,3,1,1441
72,4,0,1633
72,5,1,2201
72,6,1,1208
72,7,0,2638
72,8,1,1024
72,9,1,972
72,10,1,1008
72,11,0,1607
72,12,1,1370
72,13,0,139
72,14,1,927
72,15,1,1209
73,0,0,3093
73,1,1,3296
73,2,1,1734
73,3,0,4432
73,4,1,1259
73,5,0,2497
73,6,0,1741
73,7,1,2993
73,8,1,1044
73,9,1,2374
73,10,1,2058
73,11,1,1102
73,12,1,1687
73,13,1,1699
73,14,1,2880
73,15,1,2306
74,0,1,8603
74,1,1,6036
74,2,1,5504
74,3,0,6201
74,4,1,3119
74,5,1,2681
74,6,1,2022
74,7,1,3616
74,8,1,2690
74,9,1,2047
74,10,1,2906
74,11,1,1784
74,12,1,1974
74,13,1,1931
74,14,1,1695
74,15,1,2079
75,0,1,4417
75,1,1,3944
75,2,1,2476
75,3,1,1492
75,4,0,1829
75,5,1,2332
75,6,0,3261
75,7,1,2459
75,8,1,1286
75,9,1,1788
75,10,1,1727
75,11,1,1365
75,12,1,1315
75,13,1,3391
75,14,1,1101
75,15,1,3923
76,0,0,12799
76,1,1,3386
76,2,1,4198
76,3,1,2523
76,4,1,2581
76,5,0,1616
76,6,1,1414
76,7,0,4323
76,8,1,2099
76,9,0,1994
76,10,0,1849
76,11,0,1861
76,12,1,5091
76,13,1,2739
76,14,0,3878
76,15,1,3413
77,0,0,7428
77,1,0,1207
77,2,0,1166
77,3,1,559
77,4,1,1299
77,5,1,647
77,6,0,1099
77,7,0,1779
77,8,0,955
77,9,1,463
77,10,1,311
77,11,1,495
77,12,0,6585
77,13,0,631
77,14,1,303
77,15,0,367
78,0,0,5957
78,1,0,3639
78,2,0,3937
78,3,1,753
78,4,1,1390
78,5,1,955
78,6,1,1520
78,7,1,969
78,8,1,1101
78,9,1,1146
